"","PrincipalLast","PrincipalFirst","Office","Party","State","District","Winner","idtext"
"1","Biden","Joe","President","D",NA,NA,TRUE,NA
"2","Trump","Donald","President","R",NA,NA,FALSE,NA
"3","DSCC",NA,"Coordinated","D",NA,NA,NA,NA
"4","DCCC",NA,"Coordinated","D",NA,NA,NA,NA
"5","DLCC",NA,"Coordinated","D",NA,NA,NA,NA
"6","NRCC",NA,"Coordinated","R",NA,NA,NA,NA
"7","NRSC",NA,"Coordinated","R",NA,NA,NA,NA
"8","Tuberville","Tommy","Senate","R","AL",NA,TRUE,NA
"9","Jones","Doug","Senate","D","AL",NA,FALSE,NA
"10","Sullivan","Dan","Senate","R","AK",NA,TRUE,NA
"11","Kelly","Mark","Senate","D","AZ",NA,TRUE,NA
"12","McSally","Martha","Senate","R","AZ",NA,FALSE,NA
"13","Cotton","Tom","Senate","R","AK",NA,TRUE,NA
"14","Hickenlooper","John","Senate","D","CO",NA,TRUE,NA
"15","Garder","Cory","Senate","R","CO",NA,FALSE,NA
"16","Coons","Crhis","Senate","D","DE",NA,TRUE,NA
"17","Witzke","Lauren","Senate","R","DE",NA,FALSE,NA
"18","Perdue","David","Senate","R","GA",NA,FALSE,NA
"19","Ossoff","Jon","Senate","D","GA",NA,TRUE,NA
"20","Warnock","Raphael","Senate","D","GA",NA,TRUE,NA
"21","Loeffler","Kelly","Senate","R","GA",NA,FALSE,NA
"22","Risch","Jim","Senate","R","ID",NA,TRUE,NA
"23","Jordan","Paulette","Senate","D","ID",NA,FALSE,NA
"24","Durbin","Dick","Senate","D","IL",NA,TRUE,NA
"25","Curran","Mark","Senate","R","IL",NA,FALSE,NA
"26","Ernst","Joni","Senate","R","IA",NA,TRUE,NA
"27","Greenfield","Theresa","Senate","D","IA",NA,TRUE,NA
"28","Marshall","Roger","Senate","R","KS",NA,TRUE,NA
"29","Bollier","Barbara","Senate","D","KS",NA,FALSE,NA
"30","McConnell","Mitch","Senate","R","KY",NA,TRUE,NA
"31","McGrath","Amy","Senate","D","KY",NA,FALSE,NA
"32","Cassidy","Bill","Senate","R","LA",NA,TRUE,NA
"33","Perkins","Adrian","Senate","D","LA",NA,FALSE,NA
"34","Edwards","Derrick","Senate","D","LA",NA,FALSE,NA
"35","Collins","Susan","Senate","R","ME",NA,TRUE,NA
"36","Gideon","Sara","Senate","D","ME",NA,FALSE,NA
"37","Markey","Ed","Senate","D","MA",NA,TRUE,NA
"38","O'Connor","Kevin","Senate","R","MA",NA,FALSE,NA
"39","Peters","Gary","Senate","D","MI",NA,TRUE,NA
"40","James","John","Senate","R","MI",NA,FALSE,NA
"41","Smith","Tina","Senate","D","MN",NA,TRUE,NA
"42","Lewis","Jason","Senate","R","MN",NA,FALSE,NA
"43","Hyde-Smith","Cindy","Senate","R","MS",NA,TRUE,NA
"44","Espy","Mike","Senate","R","MS",NA,FALSE,NA
"45","Daines","Steve","Senate","R","MT",NA,TRUE,NA
"46","Bullock","Steve","Senate","R","MT",NA,FALSE,NA
"47","Sasse","Ben","Senate","R","NE",NA,TRUE,NA
"48","Janicek","Chris","Senate","D","NE",NA,FALSE,NA
"49","Shaheen","Jeanne","Senate","D","NH",NA,TRUE,NA
"50","Messner","Corky","Senate","R","NH",NA,FALSE,NA
"51","Booker","Cory","Senate","D","NJ",NA,TRUE,NA
"52","Mehta","Rik","Senate","R","NJ",NA,FALSE,NA
"53","Luján","Ben Ray","Senate","D","NM",NA,TRUE,NA
"54","Ronchetti","Mark","Senate","R","NM",NA,FALSE,NA
"55","Tillis","Thom","Senate","R","NC",NA,TRUE,NA
"56","Cunningham","Cal","Senate","R","NC",NA,FALSE,NA
"57","Inhofe","Jim","Senate","R","OK",NA,TRUE,NA
"58","Broyles","Abby","Senate","R","OK",NA,FALSE,NA
"59","Merkley","Jeff","Senate","D","OR",NA,TRUE,NA
"60","Perkins","Jo Rae","Senate","R","OR",NA,FALSE,NA
"61","Reed","Jack","Senate","D","RI",NA,TRUE,NA
"62","Waters","Allen","Senate","R","RI",NA,FALSE,NA
"63","Graham","Lindsey","Senate","R","SC",NA,TRUE,NA
"64","Harrison","Jaime","Senate","D","SC",NA,FALSE,NA
"65","Rounds","Mike","Senate","R","SD",NA,TRUE,NA
"66","Ahlers","Dan","Senate","D","SD",NA,FALSE,NA
"67","Hagerty","Bill","Senate","R","TN",NA,TRUE,NA
"68","Bradshaw","Marquita","Senate","D","TN",NA,FALSE,NA
"69","Cornyn","John","Senate","R","TX",NA,TRUE,NA
"70","Hegar","MJ","Senate","D","TX",NA,FALSE,NA
"71","Warner","Mark","Senate","D","VA",NA,TRUE,NA
"72","Gade","Daniel","Senate","R","VA",NA,FALSE,NA
"73","Capito","Shelley Moore","Senate","R","VA",NA,TRUE,NA
"74","Swearengin","Paula Jean","Senate","D","WV",NA,FALSE,NA
"75","Lummis","Cynthia","Senate","R","WY",NA,TRUE,NA
"76","Ben-David","Merav","Senate","D","WY",NA,FALSE,NA
"77","Carl","Jerry","House","R","AL",1,TRUE,NA
"78","Averhart","James","House","D","AL",1,FALSE,NA
